Frame,Joint,X,Y,Z,Visibility,Key
0,0,0.499071479,0.627313673,-0.359465271,0.999942541,4
0,1,0.494270772,0.633158684,-0.349755645,0.999669671,4
0,2,0.491405189,0.633427203,-0.349765331,0.999679923,4
0,3,0.488596022,0.633681118,-0.349772245,0.999641299,4
0,4,0.503157377,0.633324206,-0.349837661,0.999730885,4
0,5,0.506251037,0.633634925,-0.34986791,0.999704063,4
0,6,0.50893867,0.633904338,-0.349890023,0.999647021,4
0,7,0.485323757,0.633782506,-0.243073463,0.999414802,4
0,8,0.513584316,0.633915782,-0.242088854,0.999246001,4
0,9,0.4935188,0.623020113,-0.314710587,0.999888301,4
0,10,0.505109489,0.623844147,-0.314631581,0.999873161,4
0,11,0.454504192,0.602808774,-0.15366663,0.999970436,4
0,12,0.547068775,0.603648603,-0.138781592,0.999964833,4
0,13,0.445043981,0.558895469,-0.099342965,0.995595396,4
0,14,0.562847435,0.55930537,-0.080703966,0.973067403,4
0,15,0.439659119,0.524425685,-0.19571127,0.992893398,4
0,16,0.573984325,0.521300495,-0.162634954,0.974521518,4
0,17,0.437750995,0.511470318,-0.226205394,0.981525302,4
0,18,0.578243911,0.510393381,-0.191726089,0.952154338,4
0,19,0.444636285,0.513100982,-0.263924897,0.983050287,4
0,20,0.572655857,0.510006368,-0.228155747,0.955368578,4
0,21,0.447697699,0.517372668,-0.212249279,0.978768885,4
0,22,0.569344759,0.513515711,-0.178965449,0.946721435,4
0,23,0.478913873,0.523998618,-0.010175334,0.998633921,4
0,24,0.531788945,0.523546815,0.010188364,0.999454558,4
0,25,0.479369223,0.468275815,0.04579109,0.99245584,4
0,26,0.535831511,0.466391623,0.047211293,0.992373288,4
0,27,0.48309502,0.420093358,0.20719108,0.984133899,4
0,28,0.531927764,0.41464138,0.195259184,0.991774678,4
0,29,0.490631551,0.413180858,0.216170564,0.888296723,4
0,30,0.525509596,0.407334954,0.202287912,0.929664791,4
0,31,0.472184092,0.402429312,0.102254577,0.980553627,4
0,32,0.551855206,0.398916095,0.08402326,0.986591101,4
1,0,0.50439477,0.627496719,-0.326659501,0.999959469,4
1,1,0.499365181,0.633082211,-0.317248225,0.999783099,4
1,2,0.49607572,0.633357286,-0.317267716,0.999790847,4
1,3,0.493124902,0.633662105,-0.317281932,0.99977833,4
1,4,0.508612454,0.633123517,-0.316821069,0.999810278,4
1,5,0.511681437,0.633418381,-0.316833019,0.99978143,4
1,6,0.514308512,0.633656323,-0.316845387,0.999738276,4
1,7,0.48829034,0.633775294,-0.215363696,0.999668241,4
1,8,0.518026471,0.633709192,-0.211302936,0.999458134,4
1,9,0.498281002,0.62338233,-0.283744395,0.999934793,4
1,10,0.510403574,0.623934507,-0.282821685,0.999913692,4
1,11,0.457285881,0.603541017,-0.13348493,0.999981165,4
1,12,0.548901558,0.603585005,-0.11184366,0.99995935,4
1,13,0.446489125,0.560158849,-0.080423884,0.996265113,4
1,14,0.56418097,0.560538054,-0.054212801,0.961570561,4
1,15,0.442397386,0.525069714,-0.170296654,0.993775606,4
1,16,0.574885249,0.522468269,-0.133796364,0.965138316,4
1,17,0.439940453,0.512080908,-0.199323997,0.984125495,4
1,18,0.579929411,0.511279225,-0.161159396,0.938138902,4
1,19,0.44655326,0.513749421,-0.235620186,0.985377014,4
1,20,0.573758841,0.510773361,-0.197206497,0.942189276,4
1,21,0.449700207,0.518259406,-0.185848936,0.981232107,4
1,22,0.57039988,0.514473677,-0.14993982,0.93261075,4
1,23,0.481432319,0.524310291,-0.013326567,0.99870801,4
1,24,0.534110367,0.524287105,0.013349873,0.999322653,4
1,25,0.480818391,0.468669623,0.030519536,0.993091345,4
1,26,0.536875665,0.467308164,0.046603087,0.991268754,4
1,27,0.482402772,0.421099186,0.177717894,0.984732211,4
1,28,0.535552621,0.416186452,0.186168611,0.990407288,4
1,29,0.488814682,0.414206237,0.185084298,0.870861471,4
1,30,0.528383791,0.408483446,0.192746907,0.925891757,4
1,31,0.473012984,0.403463393,0.071340643,0.978913486,4
1,32,0.552563488,0.400141209,0.07997518,0.984604657,4
2,0,0.507521331,0.629905105,-0.306965321,0.999936223,4
2,1,0.502265692,0.635398746,-0.295953512,0.999621034,4
2,2,0.499273747,0.635557711,-0.295967102,0.999633074,4
2,3,0.496344566,0.63571322,-0.295951545,0.999594748,4
2,4,0.510791063,0.635516584,-0.294622093,0.999689221,4
2,5,0.513392985,0.635722876,-0.294633716,0.999651194,4
2,6,0.515722632,0.635851562,-0.294665515,0.999592483,4
2,7,0.492012143,0.63484782,-0.194155782,0.999313831,4
2,8,0.518925011,0.634635687,-0.187057734,0.999020815,4
2,9,0.5014624,0.625447452,-0.265445292,0.999874949,4
