Frame,Joint,X,Y,Z,Visibility,Key
0,0,0.51503849,0.648891687,-0.289247841,0.999979258,3
0,1,0.510941982,0.654691577,-0.274326056,0.99990952,3
0,2,0.507754385,0.655008852,-0.274373919,0.999920726,3
0,3,0.505102456,0.655270457,-0.274385571,0.999916553,3
0,4,0.521169126,0.653542876,-0.273992509,0.999879241,3
0,5,0.524528801,0.653246462,-0.273982137,0.999872327,3
0,6,0.527596354,0.652954996,-0.273973048,0.999842405,3
0,7,0.501097202,0.653541803,-0.17119281,0.999832869,3
0,8,0.531657279,0.650009096,-0.167838693,0.999612153,3
0,9,0.507328451,0.644418061,-0.249198824,0.999974012,3
0,10,0.520138383,0.643372893,-0.248341233,0.999956489,3
0,11,0.463299721,0.622975767,-0.110282674,0.999991655,3
0,12,0.55193764,0.615614057,-0.085082032,0.999895811,3
0,13,0.449053258,0.583219945,-0.079459429,0.99435991,3
0,14,0.563579798,0.572983325,-0.03684815,0.964283645,3
0,15,0.44067651,0.549667656,-0.191009074,0.992509723,3
0,16,0.565520585,0.536616564,-0.118128479,0.952820599,3
0,17,0.437309653,0.537352145,-0.226231515,0.982211888,3
0,18,0.56942606,0.525001585,-0.149089336,0.917837322,3
0,19,0.444713593,0.538639605,-0.259446889,0.983693898,3
0,20,0.563731015,0.524859726,-0.18143408,0.921493649,3
0,21,0.448267579,0.54258132,-0.20632638,0.979075372,3
0,22,0.55989027,0.52917254,-0.133410096,0.909238577,3
0,23,0.472459912,0.543957293,-0.010548133,0.999765575,3
0,24,0.522411346,0.540861189,0.010536896,0.999621749,3
0,25,0.46859175,0.48990491,0.027787847,0.992343605,3
0,26,0.520821035,0.486799836,0.066372067,0.98675704,3
0,27,0.470109701,0.442423344,0.212442607,0.986648619,3
0,28,0.510346293,0.442523867,0.26516816,0.981206834,3
0,29,0.473564178,0.436898351,0.224332884,0.866003633,3
0,30,0.504552126,0.437766761,0.278871894,0.845701694,3
0,31,0.462257475,0.423507661,0.102099843,0.98212564,3
0,32,0.516644418,0.427109033,0.166778371,0.97599107,3
1,0,0.512921453,0.64983505,-0.319969863,0.999978065,3
1,1,0.508784115,0.655447125,-0.305627614,0.999893665,3
1,2,0.505607843,0.655561566,-0.305655539,0.999909997,3
1,3,0.502532482,0.655655861,-0.305679888,0.999903798,3
1,4,0.518767416,0.654621899,-0.30571422,0.999878407,3
1,5,0.522371531,0.654270589,-0.30569908,0.999875188,3
1,6,0.525706112,0.653905153,-0.30570206,0.999842763,3
1,7,0.499248207,0.65377897,-0.202611387,0.999813259,3
1,8,0.529049516,0.651043057,-0.20032692,0.999628425,3
1,9,0.505748451,0.645129085,-0.279679686,0.999971628,3
1,10,0.518222034,0.644637048,-0.279215217,0.999955416,3
1,11,0.463340104,0.622457743,-0.129819632,0.999987602,3
1,12,0.552079618,0.61690408,-0.119378448,0.999890804,3
1,13,0.449819624,0.583708107,-0.085483603,0.994551003,3
1,14,0.563234568,0.574869335,-0.074769363,0.966308475,3
1,15,0.439172745,0.549468338,-0.18202439,0.991096377,3
1,16,0.564364374,0.539721906,-0.149532899,0.952522576,3
1,17,0.434708804,0.537076116,-0.212741449,0.977900445,3
1,18,0.568469286,0.526397526,-0.179719225,0.913207293,3
1,19,0.440501273,0.538258493,-0.246952116,0.980229735,3
1,20,0.561165035,0.526917756,-0.209719971,0.916755199,3
1,21,0.443416268,0.542429328,-0.19745782,0.975173116,3
1,22,0.55779928,0.531775117,-0.163404495,0.901395082,3
1,23,0.473937094,0.545872331,-0.00726631,0.99943167,3
1,24,0.524353921,0.543115854,0.007265928,0.999252498,3
1,25,0.466829002,0.490246862,0.01986536,0.994059801,3
1,26,0.519766331,0.488598794,0.050337389,0.989906013,3
1,27,0.466811001,0.441964179,0.192951888,0.989106834,3
1,28,0.512154043,0.442379534,0.238540277,0.984420478,3
1,29,0.472321272,0.436253816,0.203017384,0.866257429,3
1,30,0.505403459,0.437096,0.251010716,0.857443392,3
1,31,0.461313188,0.424311846,0.075887986,0.982742548,3
1,32,0.518357694,0.427354276,0.135007605,0.977656662,3
2,0,0.513383031,0.648718297,-0.333146423,0.999978542,3
2,1,0.50972414,0.654609978,-0.320059091,0.999893785,3
2,2,0.50688535,0.654939294,-0.32007274,0.999915123,3
2,3,0.503902555,0.655232728,-0.320091546,0.999906421,3
2,4,0.519052446,0.653412104,-0.318595886,0.999872446,3
2,5,0.522104025,0.653018653,-0.318571776,0.999872923,3
2,6,0.525082409,0.652644277,-0.318566114,0.999830484,3
2,7,0.499048293,0.653334498,-0.21753107,0.999830604,3
2,8,0.527415752,0.65026921,-0.207351133,0.999581993,3
2,9,0.506645858,0.644042134,-0.292572469,0.999972343,3
2,10,0.517647266,0.643315732,-0.289865047,0.999947548,3
2,11,0.461392999,0.622336805,-0.140722319,0.999988437,3
2,12,0.55076915,0.616416156,-0.120930977,0.999913812,3
2,13,0.448934495,0.581917167,-0.091492355,0.994346559,3
2,14,0.560601354,0.574315727,-0.069335796,0.95813477,3
2,15,0.437536001,0.54787308,-0.186388627,0.99004209,3
2,16,0.562633276,0.538715303,-0.144370437,0.948087692,3
2,17,0.432687879,0.534981787,-0.216393545,0.974883139,3
2,18,0.567347527,0.525105953,-0.174781963,0.907482862,3
2,19,0.438278973,0.536426902,-0.25249365,0.977706909,3
2,20,0.560995996,0.525845706,-0.206350118,0.911246598,3
2,21,0.441382021,0.540760279,-0.202659577,0.972435176,3
2,22,0.557412744,0.530634463,-0.159358218,0.895258248,3
2,23,0.472424179,0.545366406,-0.009719714,0.999319077,3
2,24,0.524763525,0.541767418,0.009717075,0.999206841,3
2,25,0.466355205,0.489836425,0.01890227,0.99414587,3
2,26,0.520348728,0.48844564,0.057025369,0.992068052,3
2,27,0.466107368,0.440847993,0.197321251,0.98901552,3
2,28,0.514001429,0.442783982,0.248899132,0.985348046,3
2,29,0.470797211,0.435441643,0.207885817,0.867964089,3
2,30,0.50572747,0.437484652,0.261777192,0.872317791,3
2,31,0.462065578,0.42351228,0.076542988,0.982613862,3
2,32,0.519325912,0.426469237,0.144279763,0.978404462,3
3,0,0.511607826,0.648661792,-0.33879298,0.999985456,3
3,1,0.50725913,0.654374659,-0.324848324,0.999930859,3
3,2,0.503862381,0.65468502,-0.324864805,0.999941707,3
3,3,0.500880539,0.654878378,-0.324882358,0.999937296,3
3,4,0.517058313,0.653531075,-0.324315727,0.999915957,3
3,5,0.520350635,0.653327107,-0.324311703,0.999915481,3
3,6,0.523735166,0.652981162,-0.324300379,0.999891996,3
3,7,0.496799827,0.653410196,-0.218897134,0.999878764,3
3,8,0.526941359,0.650331676,-0.214093417,0.999733984,3
3,9,0.504180193,0.644333601,-0.296968937,0.999979854,3
3,10,0.516643763,0.643462598,-0.295804858,0.999965549,3
3,11,0.46132195,0.621888578,-0.140477836,0.999990225,3
3,12,0.548956513,0.617022097,-0.123117715,0.999927402,3
3,13,0.447259068,0.581682503,-0.088798948,0.99550581,3
3,14,0.559134066,0.575852633,-0.070276223,0.967633367,3
3,15,0.434901595,0.548096597,-0.184809819,0.992995918,3
3,16,0.560140669,0.53816545,-0.149989277,0.961779296,3
3,17,0.430168331,0.535131037,-0.215333313,0.981672585,3
3,18,0.564279258,0.526367366,-0.1801195,0.929105759,3
3,19,0.435238749,0.536190033,-0.251404405,0.983610928,3
3,20,0.557457507,0.526631594,-0.212023899,0.932308316,3
3,21,0.438296884,0.540566623,-0.20096828,0.979468584,3
3,22,0.554411113,0.530727684,-0.164772525,0.918880284,3
3,23,0.471631706,0.54607147,-0.010353802,0.999535322,3
3,24,0.522325754,0.543061554,0.01029744,0.999412537,3
3,25,0.46777764,0.490668952,0.01602181,0.993045509,3
3,26,0.518121302,0.487394124,0.04849707,0.988986611,3
3,27,0.46534878,0.440832347,0.195184916,0.988718152,3
3,28,0.510468841,0.442461699,0.231681019,0.984649837,3
